1;1;1045;Gyönyörűen süt a nap aznap reggel mikor a verseny résztvevői az erőbe értek. A versenyre rengeteg résztvevő jelentkezett. Lovad nem tud elég gyorsan rajtolni, ezért leszakadsz az élbojtól. Egy jó ideig haladsz előre a megfelelő irányba, de a nap kezd lemenni...;1: Lepihensz a fák között;95;2: Lepihensz a tisztáson;100
2;1;950;Időt spóroltál azzal, hogy ott pihentél le, ahol éppen tartottál. Másnap kora hajnalban újra útnak indulsz a cél felé.;1: Kimész a tisztásra, és gyorsítasz;150;2: Nyugodt tempóban haladsz a fák között;50
2;2;945;Este még sokáig keresed a tisztásig vezető utat. Késődélelőtt ébredsz, Sodashi hátán, aki valószínűleg korábban kelt nálad, mivel amíg te a hátán aludtál ő elindult egy patak mentén a megfelelő irányba.;1: Nyugodt tempóban haladsz, mivel már haladtál az éjszaka is;45;2: Gyorsítasz, amíg a lovad még ereje teljében van;145
3;1;800;Sikerült egy megfelő átlag napi távot teljesíteni, de Sodashi egyre nehézkesebben tud közlekedni, többször is felveszi magát vágtából. Fáradt, és tudod, hogy így nem fogja sokáig bírni.;1: Tartod a tempót, hogy ne maradj le;1;2: Lassítasz, hogy Sodashi kipihenhesse magát;60
3;2;900;Sodashi nyugodt tempóban ügetett végig a fák között. A kanca szőrén metörik a felkelő nap fénye. Az eső hatalmas cseppekben kezd szakadni az égből. Ahogy az avar elázik egyre csúszósabb.;1: Tovább vágtatsz mivel így is nagy lemaradásban vagy;2;2: Lassan haladsz a fák között;65
4;1;799;A többszöri ellenkezés ellenére is tovább vágtatsz. Sodashi két galoppüteme között összeesik. A kanca elretül a fák között, nehézkesen veszi a levegőt. Láthatóan kimerült. Úgy döntesz, nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
4;2;740;Sodashi nyugodt tempóban ügetett végig a fák között. A kanca szőrén metörik a felkelő nap fénye. Az eső hatalmas cseppekben kezd szakadni az égből. Ahogy az avar elázik egyre csúszósabb.;1: Tovább haladsz mivel így is nagy lemaradásban vagy;1;2: Kersel egy menedék;50
4;3;898;Tovább haladsz a cél irányába, de Sodashi patája megcsúszik az avaron. Nem tudja megtartani az egyensúlyát. A kanca elterül a fák között. Úgy tűnik megrándul a bal mellő lába, valamint elég erősen vérzik. Úgy döntesz, hívsz hozzá egy állatorvos, akkor is ha ezzel kiesel a versenyből. Nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
4;4;835;Óvatosan haladsz a vizes avaron. Ahogy az eső kezd elállni, kitisztul az ég. Meghallasz egy kétségbeesett nyerítést.;1: Megkeresed a hang forrását;100;2: Figyelem kívül hagyod, és begyorsítasz;2
5;1;739;Tovább haladsz a cél irányába, de Sodashi patája megcsúszik az avaron. Nem tudja megtartani az egyensúlyát. A kanca elterül a fák között. Úgy tűnik megrándul a bal mellő lába, valamint elég erősen vérzik. Úgy döntesz, hívsz hozzá egy állatorvos, akkor is ha ezzel kiesel a versenyből. Nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
5;2;690;Találtál egy közeli barlangot, ahol mindketten ki tudtátok pihenni magatokat. Reggelre eláll az eső, ugyan a terep még csúszik, de lassan útnak tudtok indulni.;1: A tó felé veszed az irányt;1;2: Kimész a tisztásra;100
5;3;833;Tovább haladsz a cél irányába, de Sodashi patája megcsúszik az avaron. Nem tudja megtartani az egyensúlyát. A kanca elterül a fák között. Úgy tűnik megrándul a bal mellő lába, valamint elég erősen vérzik. Úgy döntesz, hívsz hozzá egy állatorvos, akkor is ha ezzel kiesel a versenyből. Nem folytatod tovább a versenyt, hiszen azzal kockáztatnád a lovad életét.;1;1;1;1
5;4;735;Megtalálod a hang forrását. Hatalmas almásderes luzitán mén fekszik a ki van kötve egy fához, az egyik lábán van egy nagy nyílt seb. A hátán egy díjlovagó nyereg volt, az alátéte az i sötétzöld, a lábáról leszakadt az ínvédők egy része. A fején egy mexikói kantár felett volt egy duplaszáras hakamore, és egy szörmés bélésű sötétzöld kötőfék. Ahogy közelebb mész látszik, hogy a bal hátsó ínvédőjét teljesen átitatta a vér. Valószínűleg megsérült. A gazdája nincsen sehol, teljesen magára hagyta.;1: Közelebb mész, hogy segíts neki;150;2: Figyelmen kívül hagyod, hogy behozd a saját lemaradásodat;2
